Training Size,Time to Train MLP,Time to Predict with MLP,Accuracy
60000,2.208542823791504,0.08951020240783691,0.2621
60000,52.7529559135437,0.059942007064819336,0.8903
60000,101.74677395820618,0.056378841400146484,0.9306
60000,142.57726311683655,0.0608220100402832,0.9418
60000,192.01791214942932,0.10314297676086426,0.9458
60000,247.28085017204285,0.08796811103820801,0.9492
60000,293.7998948097229,0.05245685577392578,0.9513
60000,432.8222830295563,0.07850122451782227,0.9555
60000,380.55647587776184,0.09273409843444824,0.9561
60000,439.1221330165863,0.0612030029296875,0.9568
60000,490.45955181121826,0.08696794509887695,0.9574
60000,1309.4009139537811,0.0842599868774414,0.9582
60000,594.600662946701,0.06881594657897949,0.9587
60000,10486.323235988617,0.28853487968444824,0.9575
60000,15099.435649871826,0.21759700775146484,0.9566
60000,1825.5160529613495,0.1315290927886963,0.9557
60000,11987.272524118423,0.06974315643310547,0.9555
60000,810.3036251068115,0.052384138107299805,0.9556
60000,778.7738950252533,0.06013607978820801,0.9551
